1.000e+00	mua, absorption coefficient [1/cm]
100.0000	mus, scattering coefficient [1/cm]
0.9000	g, anisotropy [-]
1.4000	n1, refractive index of tissue
1.0000	n2, refractive index of outside medium
0	mcflag
0.0000	radius, radius of flat beam or 1/e radius of Gaussian beam [cm]
0.1000	waist, 1/e waist of focus [cm]
0.0000	xs, x position of isotropic source [cm]
0.0000	ys, y
0.0000	zs, z
64	NR
64	NZ
0.04688	dr
0.04688	dz
1.0e+03	Nphotons
2.777778e-02	Specular reflectance
7.526770e-01	Absorbed fraction
2.195448e-01	Escaping fraction
0.39844	 4.529410e-01	 1.255844e+00	 1.303874e+00	 1.286941e+00	 9.223924e-01	 8.033558e-01	 5.105256e-01	 4.511968e-01	 3.672271e-01	 2.582022e-01	 1.882940e-01	 1.369857e-01	 1.173748e-01	 8.447594e-02	 6.172880e-02	 4.311124e-02	 3.089311e-02	 2.926675e-02	 1.762773e-02	 7.233905e-03	 6.178495e-03	 3.937046e-03	 2.691397e-03	 2.729859e-03	 1.966502e-03	 1.506566e-03	 2.097895e-03	 1.558061e-03	 7.867163e-04	 4.868905e-04	 1.503807e-04	 4.755468e-05	 3.706574e-05	 1.839458e-05	 1.980183e-04	 9.598054e-06	 1.981277e-04	 8.820549e-05	 1.187472e-04	 3.759088e-05	 2.141240e-05	 3.548138e-06	 1.367460e-06	 2.508399e-06	 7.328643e-06	 2.213442e-07	 0.000000e+00	 0.000000e+00	 0.000000e+00	 1.587063e-06	 4.585143e-07	 1.810177e-07	 6.669143e-07	 3.197479e-07	 1.100987e-06	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00
0.44531	 3.634039e-01	 6.818374e-01	 8.376915e-01	 7.788582e-01	 5.898144e-01	 5.328819e-01	 5.296287e-01	 3.557162e-01	 3.019191e-01	 1.909931e-01	 1.562722e-01	 1.078442e-01	 1.194064e-01	 7.110005e-02	 5.416479e-02	 3.239137e-02	 1.847897e-02	 1.967053e-02	 1.308712e-02	 7.959903e-03	 4.810824e-03	 6.598179e-03	 4.047127e-03	 1.855120e-03	 2.306096e-03	 1.411334e-03	 1.609391e-03	 7.760400e-04	 8.746224e-04	 5.494372e-04	 2.379355e-04	 1.967756e-04	 1.216194e-04	 9.416444e-05	 2.608062e-04	 1.917980e-04	 1.365901e-04	 1.928733e-04	 1.137324e-04	 1.279988e-05	 5.424203e-06	 2.510915e-06	 9.587065e-06	 9.460430e-06	 4.342477e-06	 2.372357e-06	 2.378553e-07	 1.678420e-06	 9.628835e-07	 1.199403e-06	 1.486454e-06	 9.080872e-07	 1.733141e-06	 1.109396e-06	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00
0.49219	 2.159423e-01	 5.176645e-01	 7.551453e-01	 5.722041e-01	 4.175619e-01	 4.121638e-01	 3.409512e-01	 2.771379e-01	 2.542055e-01	 1.611548e-01	 1.132360e-01	 8.155092e-02	 6.669504e-02	 5.997776e-02	 3.917329e-02	 2.857135e-02	 2.390503e-02	 2.008513e-02	 1.388162e-02	 1.164595e-02	 5.543277e-03	 5.709993e-03	 3.388566e-03	 2.087725e-03	 1.955194e-03	 9.129384e-04	 6.756362e-04	 3.102399e-04	 5.079863e-04	 3.405259e-04	 1.032715e-04	 6.565034e-05	 1.169123e-04	 1.397623e-04	 8.241638e-05	 3.272381e-05	 3.554013e-05	 1.174027e-04	 4.731662e-05	 3.924741e-06	 9.412320e-07	 1.805007e-06	 4.530938e-06	 5.880394e-06	 2.060601e-06	 2.808343e-07	 2.355003e-07	 1.118922e-06	 0.000000e+00	 7.748107e-07	 1.427253e-06	 5.328648e-07	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00
0.53906	 2.132598e-01	 4.081590e-01	 4.519223e-01	 3.487725e-01	 2.828307e-01	 2.908780e-01	 1.601051e-01	 1.728944e-01	 1.454826e-01	 1.346942e-01	 1.206073e-01	 7.540491e-02	 6.353086e-02	 5.187048e-02	 3.413168e-02	 2.984243e-02	 2.921796e-02	 1.515563e-02	 1.398420e-02	 6.595331e-03	 5.823895e-03	 5.493880e-03	 3.047771e-03	 2.808536e-03	 1.680755e-03	 1.448977e-03	 7.713082e-04	 3.690326e-04	 4.811386e-04	 4.649699e-04	 1.912472e-04	 1.433894e-04	 1.759229e-04	 1.051056e-04	 2.231867e-05	 1.926193e-05	 1.291959e-04	 7.719571e-05	 7.757794e-05	 2.004726e-05	 3.506918e-06	 1.374547e-06	 2.223719e-06	 4.943834e-07	 1.890849e-06	 8.757180e-07	 0.000000e+00	 0.000000e+00	 1.648934e-07	 8.212601e-07	 1.294618e-07	 2.854127e-07	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00
0.58594	 1.073500e-01	 1.851035e-01	 2.029622e-01	 2.258345e-01	 2.350771e-01	 2.219766e-01	 1.667917e-01	 1.314297e-01	 9.477137e-02	 1.049427e-01	 1.021526e-01	 6.429970e-02	 4.436880e-02	 3.342343e-02	 2.468974e-02	 1.675607e-02	 1.920176e-02	 1.431627e-02	 1.304288e-02	 8.147748e-03	 6.236965e-03	 6.151450e-03	 4.103509e-03	 2.333455e-03	 1.222736e-03	 8.118968e-04	 5.104503e-04	 5.758129e-04	 4.259538e-04	 5.986177e-04	 1.355851e-04	 1.937793e-04	 1.427827e-04	 5.176856e-05	 1.603572e-04	 2.499657e-05	 5.739017e-05	 8.095178e-05	 7.756897e-05	 2.331162e-05	 1.945612e-05	 1.754769e-07	 1.052235e-06	 2.324009e-06	 4.257511e-06	 5.018535e-07	 0.000000e+00	 0.000000e+00	 0.000000e+00	 4.643200e-07	 0.000000e+00	 2.257751e-07	 5.046007e-07	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00
0.63281	 8.139024e-02	 1.642804e-01	 1.718692e-01	 1.935048e-01	 2.136783e-01	 1.622793e-01	 1.360659e-01	 1.113130e-01	 9.144505e-02	 8.112438e-02	 7.301351e-02	 4.858720e-02	 3.963873e-02	 2.944509e-02	 1.870924e-02	 1.765923e-02	 1.217231e-02	 1.469968e-02	 1.050008e-02	 9.574041e-03	 5.867226e-03	 4.701882e-03	 3.772047e-03	 2.067144e-03	 8.536056e-04	 1.550751e-03	 7.740307e-04	 5.602020e-04	 6.495799e-04	 2.287055e-04	 6.227714e-05	 7.528350e-05	 5.254646e-05	 2.427163e-05	 1.181735e-05	 2.894564e-05	 6.040488e-05	 4.506882e-05	 2.971366e-05	 6.780243e-06	 6.767193e-06	 3.453944e-06	 4.113013e-07	 1.896135e-06	 3.771564e-06	 1.688001e-06	 9.522880e-07	 6.062113e-07	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00	 2.177096e-07	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00
0.67969	 2.925712e-02	 2.268435e-01	 2.287130e-01	 1.884861e-01	 1.509150e-01	 1.049911e-01	 1.243805e-01	 9.744817e-02	 7.697975e-02	 4.539727e-02	 3.972560e-02	 4.937168e-02	 4.289714e-02	 2.485832e-02	 1.650031e-02	 1.095765e-02	 9.994534e-03	 1.261336e-02	 5.133174e-03	 4.562340e-03	 5.363264e-03	 2.573689e-03	 2.669739e-03	 2.118954e-03	 1.743815e-03	 8.047774e-04	 4.232699e-04	 7.604247e-04	 3.031500e-04	 1.591795e-04	 1.397029e-04	 1.950389e-04	 5.361532e-05	 1.667709e-05	 2.443923e-05	 2.166418e-05	 2.049944e-05	 2.333281e-05	 4.309874e-05	 3.264840e-05	 1.207812e-05	 1.263455e-05	 2.416813e-06	 3.332265e-06	 3.235573e-06	 1.962821e-06	 2.072847e-06	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00
0.72656	 1.675920e-02	 7.085447e-02	 1.023131e-01	 1.037145e-01	 8.715203e-02	 1.039878e-01	 1.013725e-01	 8.934751e-02	 7.879291e-02	 4.800271e-02	 4.381203e-02	 3.204687e-02	 2.556909e-02	 1.735886e-02	 2.434724e-02	 1.369682e-02	 9.351382e-03	 7.619687e-03	 5.113820e-03	 4.600184e-03	 5.509964e-03	 3.493872e-03	 2.157918e-03	 1.767014e-03	 1.038366e-03	 8.941443e-04	 7.617609e-04	 5.901522e-04	 3.178244e-04	 9.931602e-05	 7.303569e-05	 1.665517e-04	 3.069751e-05	 4.742077e-06	 9.911642e-06	 6.879324e-06	 1.115885e-05	 1.910886e-05	 1.753055e-05	 9.839826e-06	 5.476677e-06	 3.375437e-06	 2.682821e-06	 7.081695e-07	 5.876679e-07	 3.713590e-06	 5.730339e-07	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00
0.77344	 8.341302e-03	 3.695388e-02	 5.749097e-02	 4.128874e-02	 6.179294e-02	 8.343435e-02	 7.645102e-02	 5.899478e-02	 5.459414e-02	 4.208067e-02	 3.656413e-02	 3.137176e-02	 1.574033e-02	 1.472970e-02	 1.784938e-02	 1.658829e-02	 7.044685e-03	 3.990313e-03	 3.860090e-03	 5.525942e-03	 3.300516e-03	 1.956171e-03	 1.204933e-03	 1.839296e-03	 8.931631e-04	 1.027782e-03	 4.862198e-04	 3.916389e-04	 2.930991e-04	 1.745862e-04	 6.585816e-05	 5.398077e-05	 1.090380e-05	 1.487915e-05	 6.217461e-06	 8.979945e-06	 1.199702e-05	 1.823889e-05	 8.471310e-06	 4.144433e-06	 4.672323e-06	 2.348243e-06	 1.346929e-06	 3.584262e-07	 2.812899e-07	 2.484067e-06	 3.614846e-06	 1.264675e-06	 7.034194e-07	 1.910594e-07	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00
0.82031	 2.082326e-02	 2.509488e-02	 3.777365e-02	 2.390427e-02	 4.196235e-02	 4.281414e-02	 5.499776e-02	 3.746222e-02	 3.483402e-02	 4.403888e-02	 2.201131e-02	 2.345621e-02	 1.571116e-02	 1.396794e-02	 1.440466e-02	 1.204320e-02	 5.780366e-03	 1.992329e-03	 2.318467e-03	 2.263225e-03	 3.393258e-03	 1.484408e-03	 1.487086e-03	 2.112925e-03	 1.510938e-03	 7.696405e-04	 2.616544e-04	 4.070265e-04	 2.739873e-04	 2.402098e-04	 7.075790e-05	 7.331624e-05	 2.791842e-05	 9.265727e-06	 6.264636e-06	 1.456950e-05	 2.898655e-05	 1.106996e-05	 5.828529e-06	 2.819634e-06	 7.231355e-07	 9.720132e-07	 0.000000e+00	 8.523645e-08	 1.283183e-06	 5.373678e-07	 4.243385e-07	 1.183155e-06	 2.571640e-07	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00	 0.000000e+00
